id,morsel_id,project,agent_id,provider,tier,pid,prompt,dispatched_at,completed_at,status,exit_code,duration_s,retries,escalated_from_tier,session_name,input_tokens,output_tokens,cost_usd,failure_category,failure_summary,log_path,branch,backend,stage,pr_url,pr_number,workflow,labels,next_retry_at
1814,chum-f8d7f7,chum,codex,gemini-pro,temporal,0,"","2026-02-24 02:30:58","2026-02-24 02:30:58",escalated,1,1734.866204475,0,"","",392701,42340,0.0,activity_timeout,"Temporal activity timeout (Heartbeat or StartToClose exceeded)","","",temporal,dispatched,"",0,,"",
1815,chum-crab-sanitize,chum,codex,codex-spark,temporal,0,"","2026-02-24 02:35:11","2026-02-24 02:35:11",escalated,1,1990.511163119,0,"","",4078899,51412,0.0,activity_timeout,"Temporal activity timeout (Heartbeat or StartToClose exceeded)","","",temporal,dispatched,"",0,,"",
1816,chum-f8d7f7,chum,codex,codex-spark,temporal,0,"","2026-02-24 02:35:43","2026-02-24 02:35:43",escalated,1,2019.822150777,0,"","",1602009,34759,0.0,activity_timeout,"Temporal activity timeout (Heartbeat or StartToClose exceeded)","","",temporal,dispatched,"",0,,"",
1817,chum-72d621,chum,codex,codex-spark,temporal,0,"","2026-02-24 02:43:33","2026-02-24 02:43:33",escalated,1,2491.672655245,0,"","",2344714,56447,0.0,activity_timeout,"Temporal activity timeout (Heartbeat or StartToClose exceeded)","","",temporal,dispatched,"",0,,"",
1818,chum-td14,chum,gemini,codex-spark,temporal,0,"","2026-02-24 03:00:54","2026-02-24 03:00:54",escalated,1,1492.936230651,0,"","",851922,12604,0.0,test_failure,"Attempt 1 DoD failed: Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 3)","","",temporal,dispatched,"",0,,"",
1819,chum-td14,chum,gemini,gemini-pro,temporal,0,"","2026-02-24 03:03:55","2026-02-24 03:03:55",escalated,1,1673.833578074,0,"","",491001,56549,0.0,test_failure,"Attempt 1 DoD failed: Command failed: go test ./... (exit 1); Command failed: golangci-lint run --timeout=5m --new-from-rev=HEAD~1 (exit 1)","","",temporal,dispatched,"",0,,"",
1830,chum-049b52,chum,gemini,codex-spark,temporal,0,"","2026-02-24 07:10:58","2026-02-24 07:10:58",escalated,1,54.288806769,0,"","",46958,3487,0.0,compile_error,"Triple DoD fail (test+vet+lint) — code does not compile","","",temporal,dispatched,"",0,,"",
1831,chum-faec68,chum,codex,codex-spark,temporal,0,"","2026-02-24 07:34:52","2026-02-24 07:34:53",completed,0,1371.068087967,0,"","",53886,4578,0.0,"","","","",temporal,dispatched,"",0,,"",
1832,chum-faec68,chum,codex,codex-spark,temporal,0,"","2026-02-24 07:35:00","2026-02-24 07:35:00",completed,0,0.0,0,"","",0,0,0.0,"","","","",temporal,dispatched,"",0,,"",
1833,chum-477c41,chum,gemini,codex-spark,temporal,0,"","2026-02-24 07:40:52","2026-02-24 07:40:52",escalated,1,1731.062475044,0,"","",483400,10818,0.0,activity_timeout,"Attempt 1 DoD failed: Command failed: go test ./... (exit 1); Command failed: GOFLAGS=-buildvcs=false golangci-lint run --timeout=5m --allow-parallel-runners --new-from-rev=HEAD~1 (exit 1)","","",temporal,dispatched,"",0,,"",
1834,chum-cfde23,chum,gemini,codex-spark,temporal,0,"","2026-02-24 07:42:50","2026-02-24 07:42:50",escalated,1,1846.187976168,0,"","",435199,11975,0.0,activity_timeout,"Attempt 1 DoD failed: Command failed: GOFLAGS=-buildvcs=false golangci-lint run --timeout=5m --allow-parallel-runners --new-from-rev=HEAD~1 (exit 1)","","",temporal,dispatched,"",0,,"",
1835,chum-00bb4a,chum,gemini,codex-spark,temporal,0,"","2026-02-24 07:45:38","2026-02-24 07:45:38",escalated,1,2015.912313673,0,"","",153871,12271,0.0,activity_timeout,"Attempt 1 DoD error: activity error (type: DoDVerifyActivity, scheduledEventID: 70, startedEventID: 71, identity: ): activity StartToClose timeout (type: StartToClose)","","",temporal,dispatched,"",0,,"",
1836,chum-dd6bbd,chum,codex,codex-spark,temporal,0,"","2026-02-24 14:02:35","2026-02-24 14:02:35",completed,0,989.949316002,0,"","",2231351,7492,0.0,"","","","",temporal,dispatched,"",0,,"",
1837,chum-dd6bbd,chum,codex-extrahigh,codex-spark,temporal,0,"","2026-02-24 14:03:08","2026-02-24 14:03:08",completed,0,0.0,0,"","",0,0,0.0,"","","","",temporal,dispatched,"",0,,"",
1838,chum-c7e00f,chum,gemini,codex-spark,temporal,0,"","2026-02-24 14:13:32","2026-02-24 14:13:32",completed,0,0.0,0,"","",0,0,0.0,"","","","",temporal,dispatched,"",0,,"",
1840,chum-d01d1a,chum,codex-medium,codex-high,temporal,0,"","2026-02-25 02:42:49","2026-02-25 02:42:50",completed,0,2438.904177776,0,"","",0,0,0.0,"","","","",temporal,dispatched,"",0,,"",
1841,chum-d01d1a,chum,codex-high,codex-medium,temporal,0,"","2026-02-25 02:44:23","2026-02-25 02:44:23",escalated,1,2531.799441021,0,"","",0,0,0.0,activity_timeout,"Attempt 1 DoD failed: Command failed: go test ./... (exit 1); Command failed: GOFLAGS=-buildvcs=false golangci-lint run --timeout=5m --allow-parallel-runners --new-from-rev=HEAD~1 (exit 1)","","",temporal,dispatched,"",0,,"",
